file, datetime, full string, float conversion attemptFLIR10000.jpg, 2022:09:23 09:56:18, 223 *
, ['2', '2', '8']FLIR10077.jpg, 2022:09:23 10:15:34, 229 +
, ['2', '2', '9']FLIR10078.jpg, 2022:09:23 10:15:48, 228 +
, ['2', '2', '8']FLIR10079.jpg, 2022:09:23 10:16:04, 229 +
, ['2', '2', '9']FLIR10080.jpg, 2022:09:23 10:16:18, 228 +
, ['2', '2', '8']FLIR10081.jpg, 2022:09:23 10:16:34, 228 +
, ['2', '2', '8']FLIR10082.jpg, 2022:09:23 10:16:48, 229 +
, ['2', '2', '9']FLIR10083.jpg, 2022:09:23 10:17:05, 229 +
, ['2', '2', '9']FLIR10084.jpg, 2022:09:23 10:17:16, 229 +
, ['2', '2', '9']FLIR10085.jpg, 2022:09:23 10:17:34, 229 +
, ['2', '2', '9']FLIR10086.jpg, 2022:09:23 10:17:48, 229 +
, ['2', '2', '9']FLIR10087.jpg, 2022:09:23 10:18:05, 229 +
, ['2', '2', '9']FLIR10088.jpg, 2022:09:23 10:18:18, 229 +
, ['2', '2', '9']FLIR10089.jpg, 2022:09:23 10:18:34, 229 +
, ['2', '2', '9']FLIR10090.jpg, 2022:09:23 10:18:48, 230 *
, ['2', '3', '0']FLIR10091.jpg, 2022:09:23 10:19:03, 229 +
, ['2', '2', '9']FLIR10092.jpg, 2022:09:23 10:19:18, 229 +
, ['2', '2', '9']FLIR10093.jpg, 2022:09:23 10:19:33, 230 *
, ['2', '3', '0']FLIR10094.jpg, 2022:09:23 10:19:47, 230 *
, ['2', '3', '0']FLIR10095.jpg, 2022:09:23 10:20:09, 230 *
, ['2', '3', '0']FLIR10096.jpg, 2022:09:23 10:20:19, 231 7
, ['2', '3', '1', '7']FLIR10097.jpg, 2022:09:23 10:20:33, 232 *
, ['2', '3', '2']FLIR10098.jpg, 2022:09:23 10:20:49, 231 7
, ['2', '3', '1', '7']FLIR10099.jpg, 2022:09:23 10:21:03, 231 7
, ['2', '3', '1', '7']FLIR10100.jpg, 2022:09:23 10:21:19, 232 *
, ['2', '3', '2']FLIR10101.jpg, 2022:09:23 10:21:34, 233
, ['2', '3', '3']FLIR10102.jpg, 2022:09:23 10:21:49, 232 *
, ['2', '3', '2']FLIR10103.jpg, 2022:09:23 10:22:04, 232 *
, ['2', '3', '2']FLIR10104.jpg, 2022:09:23 10:22:18, 232 *
, ['2', '3', '2']FLIR10105.jpg, 2022:09:23 10:22:34, 232 *
, ['2', '3', '2']FLIR10106.jpg, 2022:09:23 10:22:48, 232 *
, ['2', '3', '2']FLIR10107.jpg, 2022:09:23 10:23:05, 232 *
, ['2', '3', '2']FLIR10108.jpg, 2022:09:23 10:23:19, 231 7
, ['2', '3', '1', '7']FLIR10109.jpg, 2022:09:23 10:23:33, 232 *
, ['2', '3', '2']FLIR10110.jpg, 2022:09:23 10:23:49, 230 *
, ['2', '3', '0']FLIR10111.jpg, 2022:09:23 10:24:03, 229 +
, ['2', '2', '9']FLIR10112.jpg, 2022:09:23 10:24:19, 230 *
, ['2', '3', '0']FLIR10113.jpg, 2022:09:23 10:24:33, 230 *
, ['2', '3', '0']FLIR10114.jpg, 2022:09:23 10:24:48, 230 *
, ['2', '3', '0']FLIR10115.jpg, 2022:09:23 10:25:09, 232 *
, ['2', '3', '2']FLIR10116.jpg, 2022:09:23 10:25:18, 231 7
, ['2', '3', '1', '7']FLIR10117.jpg, 2022:09:23 10:25:34, 232 *
, ['2', '3', '2']FLIR10118.jpg, 2022:09:23 10:25:48, 231 7
, ['2', '3', '1', '7']FLIR10119.jpg, 2022:09:23 10:26:04, 232 *
, ['2', '3', '2']FLIR10120.jpg, 2022:09:23 10:26:18, 231 7
, ['2', '3', '1', '7']FLIR10121.jpg, 2022:09:23 10:26:33, 231 7
, ['2', '3', '1', '7']FLIR10122.jpg, 2022:09:23 10:26:49, 231 7
, ['2', '3', '1', '7']FLIR10123.jpg, 2022:09:23 10:27:03, 231 7
, ['2', '3', '1', '7']FLIR10124.jpg, 2022:09:23 10:27:17, 231 7
, ['2', '3', '1', '7']FLIR10125.jpg, 2022:09:23 10:27:34, 231 7
, ['2', '3', '1', '7']FLIR10126.jpg, 2022:09:23 10:27:48, 231 7
, ['2', '3', '1', '7']FLIR10127.jpg, 2022:09:23 10:28:03, 230 *
, ['2', '3', '0']FLIR10128.jpg, 2022:09:23 10:28:19, 231 7
, ['2', '3', '1', '7']FLIR10129.jpg, 2022:09:23 10:28:34, 231 7
, ['2', '3', '1', '7']FLIR10130.jpg, 2022:09:23 10:28:49, 232 *
, ['2', '3', '2']FLIR10131.jpg, 2022:09:23 10:29:03, 232 *
, ['2', '3', '2']FLIR10132.jpg, 2022:09:23 10:29:19, 233
, ['2', '3', '3']FLIR10133.jpg, 2022:09:23 10:29:33, 234
, ['2', '3', '4']FLIR10134.jpg, 2022:09:23 10:29:47, 233
, ['2', '3', '3']FLIR10135.jpg, 2022:09:23 10:30:10, 234
, ['2', '3', '4']FLIR10136.jpg, 2022:09:23 10:30:19, 234
, ['2', '3', '4']FLIR10137.jpg, 2022:09:23 10:30:33, 233
, ['2', '3', '3']FLIR10138.jpg, 2022:09:23 10:30:49, 233
, ['2', '3', '3']FLIR10139.jpg, 2022:09:23 10:31:05, 233
, ['2', '3', '3']FLIR10140.jpg, 2022:09:23 10:31:19, 232 *
, ['2', '3', '2']FLIR10141.jpg, 2022:09:23 10:31:33, 234
, ['2', '3', '4']FLIR10142.jpg, 2022:09:23 10:31:49, 232 *
, ['2', '3', '2']FLIR10143.jpg, 2022:09:23 10:32:04, 232 *
, ['2', '3', '2']FLIR10144.jpg, 2022:09:23 10:32:17, 233
, ['2', '3', '3']FLIR10145.jpg, 2022:09:23 10:32:33, 231 7
, ['2', '3', '1', '7']FLIR10146.jpg, 2022:09:23 10:32:49, 230 *
, ['2', '3', '0']FLIR10147.jpg, 2022:09:23 10:33:04, 228 +
, ['2', '2', '8']FLIR10148.jpg, 2022:09:23 10:33:19, 227
, ['2', '2', '7']FLIR10149.jpg, 2022:09:23 10:33:34, 227
, ['2', '2', '7']FLIR10150.jpg, 2022:09:23 10:33:48, 227
, ['2', '2', '7']FLIR10151.jpg, 2022:09:23 10:34:04, 227
, ['2', '2', '7']FLIR10152.jpg, 2022:09:23 10:34:20, 227
, ['2', '2', '7']FLIR10153.jpg, 2022:09:23 10:34:33, 227
, ['2', '2', '7']FLIR10154.jpg, 2022:09:23 10:34:47, 228 +
, ['2', '2', '8']FLIR10155.jpg, 2022:09:23 10:35:10, 228 +
, ['2', '2', '8']FLIR10156.jpg, 2022:09:23 10:35:20, 229 +
, ['2', '2', '9']FLIR10157.jpg, 2022:09:23 10:35:33, 229 +
, ['2', '2', '9']FLIR10158.jpg, 2022:09:23 10:35:49, 229 +
, ['2', '2', '9']FLIR10159.jpg, 2022:09:23 10:36:03, 231 7
, ['2', '3', '1', '7']FLIR10160.jpg, 2022:09:23 10:36:20, 229 +
, ['2', '2', '9']FLIR10161.jpg, 2022:09:23 10:36:34, 227
, ['2', '2', '7']FLIR10162.jpg, 2022:09:23 10:36:48, 228 +
, ['2', '2', '8']FLIR10163.jpg, 2022:09:23 10:37:04, 228 +
, ['2', '2', '8']FLIR10164.jpg, 2022:09:23 10:37:19, 228 +
, ['2', '2', '8']FLIR10165.jpg, 2022:09:23 10:37:34, 228 +
, ['2', '2', '8']FLIR10166.jpg, 2022:09:23 10:37:48, 229 +
, ['2', '2', '9']FLIR10167.jpg, 2022:09:23 10:38:04, 230 *
